clone	size
799	71
800	90
801	50
802	6
803	31
804	24
805	13
806	40
807	12
808	16
809	1
810	34
811	6
812	46
813	2
814	17
815	16
816	37
817	7
818	14
819	6
820	66
821	16
822	29
823	18
824	24
825	9
826	10
827	44
828	5
829	13
830	11
831	65
832	14
833	5
834	10
835	45
836	33
837	26
838	9
839	30
840	33
841	2
842	4
843	68
844	15
845	6
846	13
847	110
848	21
849	23
850	71
851	19
852	15
853	12
854	1
855	6
856	23
857	37
858	13
859	25
860	36
861	4
862	8
863	56
864	8
865	5
866	78
867	5
868	2
869	2
870	125
871	16
872	38
873	17
874	13
875	17
876	59
877	2
878	21
879	5
880	113
881	3
882	18
883	55
884	95
885	19
886	47
887	24
888	44
889	1
890	53
891	11
892	14
893	25
894	26
895	49
896	12
897	10
898	1
899	10
900	70
901	14
902	4
903	6
904	61
905	85
906	25
907	9
908	14
909	2
910	32
911	43
912	25
913	35
914	3
915	5
916	24
917	20
918	30
919	2
920	11
921	1
922	10
923	19
924	4
925	35
926	24
927	10
928	14
929	33
930	58
931	3
932	6
933	1
934	28
935	15
936	13
937	32
938	38
939	10
940	8
941	98
942	20
943	24
944	10
945	2
946	72
947	27
948	76
949	15
950	11
951	8
952	112
953	26
954	42
955	1
956	2
957	52
958	64
959	23
960	15
961	5
962	42
963	9
964	49
965	13
966	39
967	25
968	3
969	2
970	69
971	27
972	37
973	16
974	16
975	1
976	8
977	18
978	32
979	28
980	41
981	42
982	92
983	6
984	47
985	39
986	6
987	2
988	7
989	36
990	28
991	27
992	35
993	228
994	3
995	13
996	80
997	9
998	35
999	6
1000	96
1001	3
1002	4
1003	52
1004	43
1005	7
1006	33
1007	41
1008	9
1009	6
1010	79
1011	9
1012	47
1013	31
1014	10
1015	9
1016	56
1017	16
1018	4
1019	33
1020	42
1021	23
1022	33
1023	21
1024	22
1025	17
1026	1
1027	64
1028	67
1029	4
1030	51
1031	3
1032	24
1033	14
1034	37
1035	7
1036	11
1037	1
1038	19
1039	3
1040	46
1041	19
1042	10
1043	2
1044	19
1045	11
1046	15
1047	2
1048	20
1049	1
1050	7
1051	7
1052	17
1053	16
1054	14
1055	18
1056	7
1057	3
1058	79
1059	13
1060	14
1061	23
1062	3
1063	43
1064	39
1065	2
1066	7
1067	5
1068	33
1069	24
1070	17
1071	53
1072	30
1073	9
1074	53
1075	5
1076	17
1077	17
1078	11
1079	14
1080	50
1081	18
1082	37
1083	75
1084	10
1085	18
1086	40
1087	5
1088	64
1089	2
1090	33
1091	15
1092	1
1093	16
1094	76
1095	1
1096	50
1097	23
1098	53
1099	2
1100	8
1101	8
1102	22
1103	39
1104	3
1105	2
1106	17
1107	11
1108	45
1109	6
1110	2
1111	4
1112	93
1113	7
1114	19
1115	37
1116	184
1117	8
1118	21
1119	43
1120	26
1121	9
1122	2
1123	35
1124	10
1125	4
1126	1
1127	9
1128	80
1129	15
1130	15
1131	5
1132	23
1133	70
1134	30
1135	37
1136	12
1137	5
1138	20
1139	21
1140	20
1141	4
1142	23
1143	77
1144	37
1145	12
1146	1
1147	14
1148	1
1149	65
1150	21
1151	3
1152	15
1153	1
1154	1
1155	30
1156	8
1157	11
1158	4
1159	63
1160	7
1161	1
1162	40
1163	35
1164	44
1165	24
1166	17
1167	15
1168	14
1169	74
1170	27
1171	98
1172	1
1173	7
1174	4
1175	11
1176	4
1177	18
1178	15
1179	18
1180	23
1181	5
1182	2
1183	29
1184	16
1185	5
1186	4
1187	24
1188	5
1189	40
1190	13
1191	23
1192	38
1193	6
1194	55
1195	68
1196	6
1197	26
1198	25
1199	33
1200	10
1201	5
1202	13
1203	4
1204	32
1205	29
1206	16
1207	16
1208	6
1209	91
1210	19
1211	12
1212	17
1213	30
1214	42
1215	33
1216	47
1217	38
1218	48
1219	21
1220	23
1221	3
1222	1
1223	32
1224	24
1225	18
1226	5
1227	30
1228	1
1229	55
1230	33
1231	28
1232	17
1233	17
1234	63
1235	12
1236	41
1237	10
1238	21
1239	37
1240	18
1241	51
1242	7
1243	32
1244	19
1245	13
1246	27
1247	67
1248	97
1249	61
1250	10
1251	30
1252	13
1253	6
1254	69
1255	52
1256	60
1257	9
1258	14
1259	2
1260	25
1261	14
1262	4
1263	46
1264	21
1265	8
1266	25
1267	22
1268	1
1269	95
1270	6
1271	19
1272	1
1273	80
1274	10
1275	40
1276	1
1277	4
1278	3
1279	7
1280	38
1281	4
1282	93
1283	35
1284	16
1285	49
1286	43
1287	23
1288	29
1289	15
1290	4
1291	3
1292	9
1293	10
1294	45
1295	56
1296	78
1297	21
1298	30
1299	9
1300	1
1301	21
1302	9
1303	20
1304	6
1305	17
1306	33
1307	6
1308	86
1309	1
1310	3
1311	7
1312	32
1313	25
1314	3
1315	9
1316	5
1317	61
1318	76
1319	2
1320	36
1321	13
1322	1
1323	5
1324	23
1325	88
1326	29
1327	13
1328	4
1329	17
1330	10
1331	58
1332	22
1333	19
1334	5
1335	9
1336	29
1337	31
1338	3
1339	28
1340	11
1341	10
1342	5
1343	12
1344	5
1345	8
1346	34
1347	1
1348	10
1349	28
1350	22
1351	24
1352	11
1353	54
1354	36
1355	79
1356	180
1357	20
1358	11
1359	24
1360	12
1361	36
1362	18
1363	32
1364	16
1365	4
1366	24
1367	3
1368	20
1369	3
1370	14
1371	1
1372	7
1373	7
1374	6
1375	32
1376	6
1377	2
1378	91
1379	10
1380	53
1381	27
1382	7
1383	35
1384	19
1385	71
1386	11
1387	21
1388	4
1389	1
1390	2
1391	16
1392	8
1393	10
1394	98
1395	49
1396	2
1397	8
1398	34
1399	7
1400	6
1401	16
1402	26
1403	31
1404	13
1405	19
1406	6
1407	8
1408	21
1409	7
1410	24
1411	31
1412	14
1413	23
1414	2
1415	4
1416	7
1417	27
1418	40
1419	39
1420	40
1421	23
1422	1
1423	28
1424	13
1425	81
1426	73
1427	57
1428	11
1429	5
1430	5
1431	10
1432	5
1433	32
1434	6
1435	29
1436	12
1437	1
1438	18
1439	20
1440	26
1441	9
1442	3
1443	10
1444	26
1445	4
1446	22
1447	5
1448	53
1449	24
1450	72
1451	4
1452	15
1453	34
1454	19
1455	7
1456	34
1457	62
1458	1
1459	13
1460	64
1461	2
1462	5
1463	10
1464	54
1465	4
1466	58
1467	103
1468	20
1469	23
1470	8
1471	2
1472	56
1473	41
1474	2
1475	5
1476	50
1477	6
1478	13
1479	2
1480	24
1481	30
1482	4
1483	16
1484	49
1485	13
1486	61
1487	4
1488	15
1489	1
1490	11
1491	42
1492	5
1493	17
1494	24
1495	20
1496	7
1497	3
1498	20
1499	34
1500	8
1501	13
1502	14
1503	20
1504	35
1505	234
1506	136
1507	31
1508	2
1509	2
1510	21
1511	35
1512	4
1513	17
1514	51
1515	13
1516	24
1517	10
1518	54
1519	38
1520	11
1521	8
1522	2
