clone	size
24039	41
24040	43
24041	18
24042	18
24043	15
24044	5
24045	6
24046	50
24047	38
24048	7
24049	11
24050	24
24051	49
24052	3
24053	45
24054	18
24055	1
24056	33
24057	5
24058	4
24059	27
24060	2
24061	2
24062	24
24063	40
24064	5
24065	23
24066	18
24067	40
24068	7
24069	21
24070	9
24071	43
24072	3
24073	23
24074	65
24075	26
24076	4
24077	53
24078	2
24079	32
24080	17
24081	23
24082	6
24083	83
24084	80
24085	20
24086	18
24087	20
24088	7
24089	16
24090	42
24091	10
24092	3
24093	33
24094	42
24095	4
24096	22
24097	20
24098	7
24099	62
24100	7
24101	45
24102	63
24103	9
24104	19
24105	15
24106	33
24107	3
24108	4
24109	50
24110	35
24111	12
24112	28
24113	4
24114	53
24115	2
24116	3
24117	26
24118	21
24119	4
24120	20
24121	5
24122	34
24123	55
24124	23
24125	32
24126	1
24127	7
24128	40
24129	5
24130	20
24131	22
24132	18
24133	30
24134	5
24135	23
24136	19
24137	39
24138	15
24139	5
24140	10
24141	7
24142	21
24143	14
24144	25
24145	12
24146	16
24147	20
24148	9
24149	5
24150	14
24151	12
24152	6
24153	32
24154	30
24155	9
24156	13
24157	7
24158	6
24159	36
24160	7
24161	2
24162	15
24163	8
24164	14
24165	2
24166	18
24167	16
24168	33
24169	4
24170	51
24171	35
24172	31
24173	36
24174	17
24175	18
24176	3
24177	44
24178	29
24179	1
24180	2
24181	14
24182	22
24183	16
24184	30
24185	15
24186	26
24187	23
24188	1
24189	2
24190	4
24191	23
24192	16
24193	106
24194	30
24195	28
24196	5
24197	4
24198	4
24199	73
24200	1
24201	15
24202	43
24203	73
24204	36
24205	26
24206	13
24207	30
24208	11
24209	23
24210	24
24211	28
24212	1
24213	1
24214	72
24215	26
24216	16
24217	13
24218	5
24219	37
24220	16
24221	1
24222	17
24223	38
24224	67
24225	5
24226	40
24227	19
24228	13
24229	66
24230	22
24231	3
24232	5
24233	5
24234	18
24235	1
24236	27
24237	74
24238	24
24239	28
24240	29
24241	36
24242	28
24243	26
24244	8
24245	15
24246	3
24247	7
24248	5
24249	1
24250	2
24251	3
24252	2
24253	31
24254	3
24255	5
24256	23
24257	59
24258	9
24259	18
24260	6
24261	2
24262	73
24263	10
24264	36
24265	44
24266	19
24267	17
24268	24
24269	11
24270	95
24271	21
24272	25
24273	85
24274	9
24275	28
24276	56
24277	3
24278	4
24279	79
24280	41
24281	8
24282	38
24283	3
24284	18
24285	1
24286	8
24287	9
24288	25
24289	11
24290	8
24291	34
24292	28
24293	1
24294	9
24295	22
24296	29
24297	10
24298	22
24299	3
24300	25
24301	18
24302	25
24303	35
24304	2
24305	12
24306	7
24307	12
24308	13
24309	17
24310	15
24311	77
24312	9
24313	33
24314	42
24315	38
24316	20
24317	7
24318	3
24319	23
24320	8
24321	20
24322	1
24323	27
24324	40
24325	12
24326	36
24327	1
24328	26
24329	44
24330	7
24331	6
24332	32
24333	6
24334	10
24335	14
24336	23
24337	2
24338	10
24339	4
24340	3
24341	25
24342	21
24343	8
24344	34
24345	17
24346	47
24347	30
24348	19
24349	10
24350	31
24351	19
24352	23
24353	160
24354	2
24355	5
24356	4
24357	5
24358	3
24359	2
24360	20
24361	37
24362	41
24363	62
24364	4
24365	44
24366	13
24367	16
24368	5
24369	22
24370	15
24371	50
24372	37
24373	57
24374	51
24375	43
24376	2
24377	16
24378	12
24379	31
24380	10
24381	107
24382	67
24383	12
24384	6
24385	30
24386	71
24387	35
24388	54
24389	7
24390	24
24391	2
24392	9
24393	36
24394	5
24395	4
24396	29
24397	5
24398	17
24399	1
24400	15
24401	21
24402	51
24403	36
24404	48
24405	24
24406	12
24407	17
24408	52
24409	2
24410	9
24411	10
24412	24
24413	75
24414	15
24415	61
24416	22
24417	19
24418	40
24419	2
24420	11
24421	23
24422	5
24423	12
24424	52
24425	12
24426	38
24427	58
24428	29
24429	13
24430	7
24431	29
24432	7
24433	60
24434	7
24435	38
24436	15
24437	6
24438	13
24439	60
24440	3
24441	58
24442	71
24443	30
24444	2
24445	32
24446	32
24447	25
24448	21
24449	1
24450	9
24451	12
24452	4
24453	3
24454	15
24455	3
24456	34
24457	58
24458	15
24459	17
24460	13
24461	3
24462	60
24463	13
24464	1
24465	33
24466	3
24467	6
24468	24
24469	36
24470	6
24471	2
24472	5
24473	32
24474	78
24475	50
24476	43
24477	20
24478	9
24479	8
24480	2
24481	4
24482	4
24483	7
24484	13
24485	25
24486	8
24487	70
24488	43
24489	1
24490	12
24491	10
24492	11
24493	44
24494	62
24495	6
24496	5
24497	34
24498	5
24499	25
24500	27
24501	17
24502	2
24503	14
24504	10
24505	23
24506	7
24507	13
24508	13
24509	1
24510	23
24511	16
24512	14
24513	11
24514	18
24515	1
24516	10
24517	24
24518	19
24519	6
24520	5
24521	39
24522	4
24523	20
24524	18
24525	22
24526	36
24527	9
24528	2
24529	52
24530	1
24531	8
24532	1
24533	32
24534	14
24535	12
24536	49
24537	52
24538	8
24539	109
24540	20
24541	4
24542	15
24543	2
24544	17
24545	17
24546	5
24547	46
24548	11
24549	19
24550	7
24551	15
24552	19
24553	14
24554	6
24555	45
24556	2
24557	22
24558	49
24559	22
24560	13
24561	1
24562	5
24563	10
24564	6
24565	10
24566	29
24567	45
24568	8
24569	153
24570	22
24571	15
24572	3
24573	3
24574	47
24575	7
24576	9
24577	4
24578	21
24579	49
24580	26
24581	1
24582	4
24583	7
24584	19
24585	52
24586	4
24587	39
24588	3
24589	10
24590	3
24591	36
24592	4
24593	17
24594	35
24595	14
24596	5
24597	12
24598	13
24599	26
24600	7
24601	12
24602	20
24603	1
24604	11
24605	1
24606	7
24607	38
24608	8
24609	30
24610	2
24611	22
24612	37
24613	45
24614	9
24615	25
24616	20
24617	7
24618	5
24619	23
24620	3
24621	49
24622	5
24623	8
24624	3
24625	1
24626	11
24627	55
24628	39
24629	4
24630	24
24631	7
24632	11
24633	10
24634	6
24635	13
24636	33
24637	25
24638	86
24639	15
24640	18
24641	14
24642	9
24643	39
24644	14
24645	6
24646	6
24647	1
24648	2
24649	63
24650	11
24651	9
24652	22
24653	27
24654	8
24655	1
24656	50
24657	40
24658	1
24659	6
24660	43
24661	50
24662	34
24663	20
24664	9
24665	20
24666	5
24667	17
24668	25
24669	1
24670	15
24671	43
24672	15
24673	2
24674	21
24675	2
24676	67
24677	1
24678	12
24679	4
24680	8
24681	2
24682	15
24683	30
24684	48
24685	17
24686	46
24687	29
24688	65
24689	22
24690	12
24691	1
24692	45
24693	11
24694	4
24695	28
24696	8
24697	34
24698	7
24699	11
24700	3
24701	9
24702	10
24703	8
24704	32
24705	31
24706	17
24707	42
24708	51
24709	4
24710	17
24711	13
24712	3
24713	2
24714	2
24715	5
24716	34
24717	74
24718	3
24719	18
24720	2
24721	5
24722	63
24723	1
24724	36
24725	49
24726	27
24727	15
24728	34
24729	23
24730	29
24731	30
24732	7
24733	2
24734	16
24735	1
24736	47
24737	7
24738	14
24739	12
24740	149
24741	55
24742	1
24743	9
24744	19
24745	40
24746	20
24747	9
24748	4
24749	46
24750	3
24751	76
24752	1
24753	5
24754	4
24755	40
24756	10
24757	99
24758	14
24759	50
24760	8
24761	6
24762	37
24763	18
24764	68
24765	8
24766	13
24767	5
24768	14
24769	42
24770	3
24771	19
24772	31
24773	55
24774	11
24775	33
24776	16
24777	60
24778	42
24779	56
24780	9
24781	11
24782	16
24783	56
24784	3
24785	2
24786	52
24787	1
24788	19
24789	12
24790	19
24791	8
24792	28
24793	8
24794	13
24795	9
24796	11
24797	19
24798	7
24799	64
24800	22
24801	40
24802	14
24803	201
24804	112
24805	19
24806	7
24807	21
24808	18
24809	5
24810	12
24811	13
24812	9
24813	39
24814	31
24815	35
24816	7
24817	74
24818	12
24819	3
24820	9
24821	18
24822	27
24823	22
24824	37
24825	3
24826	21
24827	38
24828	8
24829	3
24830	18
24831	18
24832	71
24833	26
24834	59
24835	22
24836	16
24837	19
24838	26
24839	18
24840	18
24841	4
24842	30
24843	10
24844	11
24845	26
24846	23
24847	12
24848	46
24849	33
24850	62
24851	29
24852	49
24853	51
24854	27
24855	4
24856	58
24857	25
24858	49
24859	1
24860	2
24861	2
24862	43
24863	27
24864	1
24865	5
24866	30
24867	9
24868	11
24869	58
24870	13
24871	45
24872	68
24873	13
24874	3
24875	32
24876	31
24877	51
24878	52
24879	16
24880	4
24881	37
24882	18
24883	11
24884	2
24885	2
24886	9
24887	20
24888	70
24889	18
24890	6
24891	18
24892	1
24893	5
24894	28
24895	1
24896	25
24897	37
24898	9
24899	1
24900	50
24901	50
24902	62
24903	20
24904	13
24905	12
24906	4
24907	11
24908	8
24909	15
24910	55
24911	8
24912	31
24913	7
24914	15
24915	185
24916	39
24917	4
24918	66
24919	30
24920	7
24921	28
24922	47
24923	28
24924	17
24925	157
24926	25
24927	12
24928	18
24929	13
24930	6
24931	3
24932	1
24933	2
24934	30
24935	4
24936	12
24937	16
24938	3
24939	2
24940	63
24941	11
24942	1
24943	5
24944	5
24945	54
24946	10
24947	22
24948	1
24949	12
24950	10
24951	5
24952	11
24953	4
24954	27
24955	34
24956	1
24957	46
24958	21
24959	17
24960	46
24961	3
24962	17
24963	13
24964	2
24965	8
24966	7
24967	38
24968	5
24969	26
24970	44
24971	40
24972	8
24973	29
24974	7
24975	59
24976	5
24977	11
24978	2
24979	45
24980	52
24981	24
24982	3
24983	38
24984	15
24985	3
24986	18
24987	22
24988	32
24989	63
24990	25
24991	31
24992	9
24993	16
24994	60
24995	28
24996	3
24997	25
24998	3
24999	34
25000	26
25001	33
25002	7
25003	33
25004	74
25005	81
25006	5
25007	20
25008	42
25009	22
25010	12
25011	32
25012	12
25013	34
25014	30
25015	19
25016	14
25017	22
25018	22
25019	3
25020	31
25021	26
25022	18
25023	27
25024	6
25025	58
25026	3
25027	1
25028	1
25029	14
25030	3
25031	3
25032	16
25033	15
25034	2
25035	36
25036	18
25037	13
25038	4
25039	43
25040	39
25041	139
25042	6
25043	46
25044	52
25045	5
25046	5
25047	11
25048	31
25049	32
25050	96
25051	33
25052	64
25053	18
25054	1
25055	95
25056	9
25057	32
25058	8
25059	10
25060	31
25061	2
25062	3
25063	2
25064	5
25065	5
25066	5
25067	22
25068	14
25069	32
25070	8
25071	5
25072	7
25073	53
25074	9
25075	14
25076	3
25077	8
25078	40
25079	8
25080	35
25081	9
25082	14
25083	3
25084	9
25085	13
25086	12
25087	4
25088	39
25089	25
25090	5
25091	9
25092	2
25093	9
25094	13
25095	8
25096	88
25097	13
25098	43
25099	52
25100	13
25101	54
25102	44
25103	7
25104	1
25105	25
25106	6
25107	1
25108	19
25109	25
25110	36
25111	60
25112	72
25113	10
25114	33
25115	89
25116	11
25117	2
25118	19
25119	29
25120	6
25121	12
25122	10
25123	11
25124	71
25125	9
25126	32
25127	27
25128	51
25129	2
25130	29
25131	6
25132	26
25133	4
25134	72
25135	7
25136	9
25137	37
25138	6
25139	34
25140	19
25141	39
25142	34
25143	2
25144	6
25145	50
25146	7
25147	112
25148	7
25149	12
25150	50
25151	10
25152	41
25153	11
25154	2
25155	15
25156	3
25157	22
25158	109
25159	52
25160	24
25161	41
25162	85
25163	29
25164	6
25165	28
25166	15
25167	28
25168	35
25169	5
25170	20
25171	20
25172	16
25173	4
25174	5
25175	15
25176	2
25177	8
25178	21
25179	15
25180	43
25181	98
25182	19
25183	102
25184	37
25185	23
25186	51
25187	33
25188	66
25189	39
25190	12
25191	98
25192	40
25193	42
25194	2
25195	4
25196	25
25197	8
25198	3
25199	9
25200	14
25201	2
25202	9
25203	79
25204	3
25205	16
25206	7
25207	15
25208	54
25209	11
25210	11
25211	17
25212	72
25213	7
25214	3
25215	6
25216	36
25217	11
25218	27
25219	27
25220	42
25221	1
25222	20
25223	9
25224	16
25225	30
25226	9
25227	11
25228	2
25229	33
25230	25
25231	18
25232	23
25233	41
25234	35
25235	7
25236	5
25237	25
25238	16
25239	5
25240	4
25241	35
25242	22
25243	3
25244	21
25245	27
25246	21
25247	34
25248	13
25249	4
25250	1
25251	16
25252	44
25253	17
25254	12
25255	9
25256	4
25257	77
25258	39
25259	52
25260	4
25261	4
25262	25
25263	52
25264	13
25265	17
25266	1
25267	2
25268	60
25269	57
25270	34
25271	12
25272	4
25273	40
25274	50
25275	9
25276	33
25277	2
25278	19
25279	14
25280	37
25281	17
25282	3
25283	2
25284	33
25285	36
25286	13
25287	29
25288	85
25289	22
25290	14
25291	34
25292	44
25293	3
25294	51
25295	17
25296	21
25297	3
25298	6
25299	11
25300	17
25301	7
25302	5
25303	55
25304	17
25305	50
25306	8
25307	7
25308	42
25309	8
25310	3
25311	171
25312	44
25313	26
25314	9
25315	14
25316	42
25317	7
25318	32
25319	20
25320	26
25321	8
25322	15
25323	5
25324	62
25325	37
25326	30
25327	7
25328	49
25329	12
25330	7
25331	42
25332	46
25333	13
25334	15
25335	14
25336	21
25337	6
25338	16
25339	31
25340	62
25341	32
25342	18
25343	11
25344	1
25345	3
25346	4
25347	7
25348	40
25349	29
25350	55
25351	7
25352	17
25353	7
25354	5
25355	52
25356	4
25357	4
25358	25
25359	25
25360	8
25361	27
25362	28
25363	66
25364	60
25365	6
25366	35
25367	17
25368	23
25369	42
25370	54
25371	3
25372	56
25373	21
25374	32
25375	6
25376	21
25377	45
25378	48
25379	44
25380	26
25381	7
25382	3
25383	53
25384	4
25385	7
25386	2
25387	17
25388	16
25389	1
25390	6
25391	56
25392	14
25393	23
25394	15
25395	32
25396	6
25397	1
25398	2
25399	19
25400	5
25401	26
25402	11
25403	9
25404	2
25405	41
25406	18
25407	12
25408	21
25409	11
25410	5
25411	14
25412	33
25413	7
25414	2
25415	28
25416	7
25417	4
25418	41
25419	8
25420	11
25421	19
25422	14
25423	20
25424	3
25425	39
25426	29
25427	16
25428	1
25429	72
25430	28
25431	28
25432	3
25433	40
25434	6
25435	17
25436	2
25437	4
25438	42
25439	11
25440	35
25441	25
25442	6
25443	9
25444	4
25445	3
25446	20
25447	5
25448	17
25449	61
25450	7
25451	26
25452	6
25453	7
25454	4
25455	5
25456	28
25457	16
25458	31
25459	40
25460	97
25461	3
25462	4
25463	26
25464	10
25465	11
25466	64
25467	47
25468	3
25469	44
25470	18
25471	8
25472	10
25473	64
25474	15
25475	28
25476	3
25477	65
25478	2
25479	7
25480	39
25481	5
25482	22
25483	77
25484	64
25485	1
25486	7
25487	39
25488	1
25489	5
25490	46
25491	33
25492	1
25493	3
25494	1
25495	9
25496	3
25497	47
25498	47
25499	10
25500	50
25501	26
25502	16
25503	2
25504	25
25505	16
25506	6
25507	2
25508	27
25509	12
25510	42
25511	5
25512	40
25513	42
25514	20
25515	5
25516	52
25517	6
25518	8
25519	14
25520	19
25521	61
25522	61
25523	63
25524	8
25525	95
25526	8
25527	3
25528	9
25529	8
25530	36
25531	73
25532	33
25533	10
25534	67
25535	55
25536	10
25537	22
25538	47
25539	11
25540	22
25541	10
25542	15
25543	9
25544	16
25545	26
25546	6
25547	2
25548	20
25549	38
25550	18
25551	34
25552	7
25553	50
25554	18
25555	10
25556	13
25557	5
25558	29
25559	68
25560	7
25561	50
25562	3
25563	3
25564	30
25565	33
25566	15
25567	29
25568	6
25569	20
25570	30
25571	29
25572	14
25573	26
25574	52
25575	17
25576	19
25577	19
25578	15
25579	10
25580	26
25581	10
25582	42
25583	45
25584	24
25585	85
25586	39
25587	29
25588	69
25589	55
25590	17
25591	38
25592	18
25593	3
25594	23
25595	35
25596	43
25597	61
25598	16
25599	2
25600	8
25601	23
25602	5
25603	29
25604	21
25605	41
25606	3
25607	28
25608	24
25609	69
25610	1
25611	3
25612	14
25613	38
25614	17
25615	1
25616	36
25617	54
25618	25
25619	18
25620	11
25621	28
25622	13
25623	29
25624	11
25625	13
25626	10
25627	1
25628	2
25629	34
25630	17
25631	14
25632	19
25633	20
25634	44
25635	6
25636	17
25637	7
25638	42
25639	12
25640	11
25641	60
25642	49
25643	21
25644	54
25645	6
25646	35
25647	6
25648	26
25649	6
25650	51
25651	35
25652	18
25653	21
25654	24
25655	31
25656	8
25657	13
25658	21
25659	18
25660	41
25661	73
25662	15
25663	4
25664	7
25665	15
25666	10
25667	3
25668	52
25669	9
25670	43
25671	17
25672	34
25673	19
25674	26
25675	1
25676	50
25677	27
25678	35
25679	16
25680	8
25681	5
25682	9
25683	16
25684	5
25685	13
25686	49
25687	18
25688	15
25689	5
25690	83
25691	91
25692	55
25693	30
25694	26
25695	6
25696	27
25697	28
25698	37
25699	6
25700	30
25701	22
25702	5
25703	12
25704	9
25705	15
25706	11
25707	1
25708	15
25709	30
25710	1
25711	69
25712	39
25713	50
25714	14
25715	20
25716	7
25717	9
25718	35
25719	35
25720	9
25721	21
25722	22
25723	32
25724	3
25725	9
25726	48
25727	21
25728	18
25729	4
25730	17
25731	21
25732	8
25733	26
25734	10
25735	36
25736	5
25737	1
25738	21
25739	6
25740	14
25741	34
25742	36
25743	2
25744	49
25745	13
25746	26
25747	2
25748	11
25749	11
25750	17
25751	13
25752	1
25753	24
25754	42
25755	34
25756	8
25757	24
25758	17
25759	71
25760	18
25761	27
25762	21
25763	23
25764	6
25765	2
25766	64
25767	10
25768	7
25769	65
25770	1
25771	5
25772	9
25773	12
25774	6
25775	29
25776	1
25777	25
25778	45
25779	90
25780	30
25781	11
25782	43
25783	27
25784	15
25785	67
25786	33
25787	2
25788	5
25789	2
25790	11
25791	25
25792	13
25793	22
25794	28
25795	11
25796	26
25797	18
25798	13
25799	2
25800	20
25801	19
25802	9
25803	12
25804	15
25805	10
25806	22
25807	58
25808	16
25809	30
25810	3
25811	22
25812	17
25813	72
25814	6
25815	2
25816	9
25817	20
25818	4
25819	12
25820	1
25821	6
25822	4
25823	6
25824	13
25825	10
25826	4
25827	15
25828	18
25829	67
25830	50
25831	30
25832	11
25833	7
25834	23
25835	8
25836	32
25837	12
25838	13
25839	5
25840	6
25841	17
25842	58
25843	2
25844	3
25845	31
25846	13
25847	95
25848	36
25849	9
25850	57
25851	9
25852	90
25853	24
25854	47
25855	8
25856	16
25857	10
25858	66
25859	15
25860	23
25861	45
25862	2
25863	55
25864	21
25865	21
25866	8
25867	2
25868	23
25869	74
25870	43
25871	16
25872	42
25873	37
25874	2
25875	1
25876	50
25877	5
25878	2
25879	3
25880	8
25881	8
25882	45
25883	7
25884	8
25885	70
25886	3
25887	11
25888	33
25889	18
25890	3
25891	24
25892	66
25893	8
25894	9
25895	15
25896	52
25897	28
25898	9
25899	5
25900	2
25901	2
25902	9
25903	25
25904	10
25905	76
25906	46
25907	18
25908	29
25909	15
25910	3
25911	44
25912	14
25913	7
25914	34
25915	29
25916	84
25917	24
25918	3
25919	6
25920	26
25921	9
25922	32
25923	89
25924	7
25925	3
25926	12
25927	75
25928	116
25929	20
25930	23
25931	80
25932	45
25933	5
25934	33
25935	9
25936	22
25937	20
25938	30
25939	11
25940	43
25941	5
25942	13
25943	71
25944	46
25945	5
25946	10
25947	20
25948	26
25949	17
25950	10
25951	22
25952	44
25953	23
25954	10
25955	4
25956	30
25957	8
25958	9
25959	18
25960	79
25961	18
25962	3
25963	26
25964	5
25965	12
25966	19
25967	48
25968	10
25969	5
25970	51
25971	45
25972	13
25973	44
25974	4
25975	4
25976	6
25977	1
25978	40
25979	15
25980	11
25981	2
25982	46
25983	1
25984	4
25985	1
25986	18
25987	3
25988	10
25989	52
25990	10
25991	25
25992	24
25993	6
25994	66
25995	5
25996	41
25997	47
25998	27
25999	4
26000	10
26001	23
26002	39
26003	44
26004	7
26005	9
26006	42
26007	37
26008	56
26009	5
26010	18
26011	5
26012	89
26013	17
26014	50
26015	9
26016	9
26017	20
26018	1
26019	18
26020	3
26021	23
26022	15
26023	1
26024	4
26025	2
26026	11
26027	2
26028	17
26029	39
26030	12
26031	12
26032	10
26033	19
26034	11
26035	6
26036	32
26037	7
26038	1
26039	16
26040	17
26041	39
26042	19
26043	57
26044	43
26045	34
26046	59
26047	33
26048	19
26049	77
26050	24
26051	1
26052	16
26053	26
26054	35
26055	60
26056	99
26057	2
26058	19
26059	6
26060	1
26061	2
26062	43
26063	49
26064	16
26065	35
26066	60
26067	16
26068	17
26069	6
26070	3
26071	13
26072	16
26073	36
26074	28
26075	39
26076	37
26077	66
26078	18
26079	16
26080	6
26081	18
26082	10
26083	40
26084	4
26085	5
26086	21
26087	1
26088	32
26089	20
26090	3
26091	19
26092	6
26093	24
26094	17
26095	16
26096	1
26097	13
26098	7
26099	3
26100	33
26101	8
26102	8
26103	21
26104	36
26105	12
26106	20
26107	14
26108	30
26109	7
26110	21
26111	5
26112	11
26113	24
26114	29
26115	40
26116	22
26117	8
26118	20
26119	52
26120	8
26121	12
26122	16
26123	45
26124	14
26125	1
26126	8
26127	7
26128	80
26129	6
26130	28
26131	11
26132	2
26133	6
26134	10
26135	8
26136	4
26137	7
26138	4
26139	7
26140	6
26141	26
26142	50
26143	37
26144	70
26145	57
26146	18
26147	26
26148	7
26149	8
26150	14
26151	61
26152	14
26153	2
26154	10
26155	8
26156	31
26157	39
26158	19
26159	4
26160	31
26161	4
26162	2
26163	10
26164	10
26165	11
26166	11
26167	28
26168	13
26169	43
26170	12
26171	67
26172	14
26173	22
26174	23
26175	7
26176	19
26177	71
26178	18
26179	45
26180	9
26181	69
26182	7
26183	9
26184	1
26185	12
26186	11
26187	6
26188	10
26189	89
26190	3
26191	53
26192	13
26193	25
26194	87
26195	46
26196	23
26197	10
26198	7
26199	15
26200	3
26201	1
26202	13
26203	11
26204	15
26205	30
26206	17
26207	3
26208	8
26209	63
26210	41
26211	2
26212	22
26213	31
26214	2
26215	2
26216	4
26217	27
26218	21
26219	25
26220	9
26221	16
26222	4
26223	34
26224	11
26225	17
26226	14
26227	11
26228	8
26229	13
26230	25
26231	7
26232	21
26233	1
26234	28
26235	17
26236	31
26237	6
26238	32
26239	74
26240	25
26241	69
26242	34
26243	10
26244	7
26245	3
26246	7
26247	22
26248	45
26249	39
26250	31
26251	6
26252	10
26253	19
26254	1
26255	44
26256	14
26257	4
26258	4
26259	31
26260	17
26261	1
26262	44
26263	8
26264	8
26265	4
26266	14
26267	19
26268	22
26269	37
26270	1
26271	16
26272	1
26273	15
26274	59
26275	6
26276	31
26277	34
26278	118
26279	98
26280	18
26281	34
26282	17
26283	82
26284	13
26285	5
26286	65
26287	10
26288	15
26289	54
26290	16
26291	48
26292	46
26293	21
26294	34
26295	6
26296	21
26297	21
26298	48
26299	26
26300	6
26301	10
26302	17
26303	15
26304	37
26305	25
26306	100
26307	2
26308	1
26309	8
26310	32
26311	25
26312	54
26313	6
26314	70
26315	3
26316	66
26317	12
26318	39
26319	11
26320	57
26321	28
26322	16
26323	47
26324	24
26325	43
26326	36
26327	7
26328	16
26329	1
26330	23
26331	2
26332	16
26333	9
26334	45
26335	34
26336	13
26337	31
26338	46
26339	9
26340	4
26341	40
26342	52
26343	17
26344	30
26345	5
26346	3
26347	65
26348	35
26349	50
26350	26
26351	7
26352	2
26353	42
26354	15
26355	2
26356	17
26357	18
26358	2
26359	12
26360	57
26361	11
26362	27
26363	29
26364	15
26365	1
26366	2
26367	1
26368	24
26369	2
26370	10
26371	25
26372	5
26373	7
26374	26
26375	24
26376	10
26377	19
26378	4
26379	26
26380	32
26381	11
26382	10
26383	21
26384	7
26385	9
26386	2
26387	85
26388	56
26389	16
26390	39
26391	2
26392	33
26393	3
26394	9
26395	38
26396	8
26397	21
26398	28
26399	4
26400	6
26401	123
26402	16
26403	26
26404	21
26405	7
26406	4
26407	9
26408	4
26409	4
26410	29
26411	4
26412	8
26413	3
26414	15
26415	47
26416	45
26417	48
26418	35
26419	44
26420	26
26421	19
26422	4
26423	29
26424	36
26425	42
26426	11
26427	15
26428	59
26429	59
26430	18
26431	13
26432	10
26433	50
26434	26
26435	44
26436	44
26437	24
26438	14
26439	2
26440	8
26441	11
26442	36
26443	15
26444	1
26445	15
26446	42
26447	41
26448	5
26449	61
26450	30
26451	10
26452	28
26453	49
26454	4
26455	6
26456	11
26457	11
26458	6
26459	10
26460	21
26461	20
26462	14
26463	63
26464	6
26465	58
26466	19
26467	13
26468	32
26469	23
26470	20
26471	27
26472	7
26473	43
26474	7
26475	10
26476	18
26477	10
26478	5
26479	30
26480	14
26481	8
26482	37
26483	2
26484	34
26485	13
26486	2
26487	21
26488	5
26489	19
26490	18
26491	53
26492	1
26493	24
26494	3
26495	8
26496	8
26497	5
26498	13
26499	2
26500	4
26501	4
26502	1
26503	67
26504	6
26505	1
26506	4
26507	79
26508	20
26509	40
26510	13
26511	11
26512	11
26513	14
26514	18
26515	39
26516	4
26517	5
26518	53
26519	17
26520	10
26521	20
26522	65
26523	9
26524	16
26525	36
26526	6
26527	36
26528	5
26529	38
26530	14
26531	37
26532	16
26533	20
26534	15
26535	12
26536	19
26537	16
26538	5
26539	21
26540	49
26541	87
26542	4
26543	9
26544	7
26545	16
26546	3
26547	2
26548	19
26549	1
26550	28
26551	10
26552	2
26553	33
26554	62
26555	29
26556	47
26557	2
26558	11
26559	7
26560	5
26561	95
26562	17
26563	23
26564	9
26565	88
26566	6
26567	6
26568	12
26569	24
26570	37
26571	5
26572	50
26573	22
26574	7
26575	14
26576	44
26577	14
26578	14
26579	31
26580	39
26581	6
26582	31
26583	33
26584	34
26585	5
26586	2
26587	31
26588	60
26589	18
26590	18
26591	8
26592	34
26593	9
26594	20
26595	13
26596	38
26597	15
26598	69
26599	6
26600	20
26601	4
26602	23
26603	13
26604	33
26605	30
26606	2
26607	10
26608	9
26609	18
26610	57
26611	34
26612	27
26613	77
26614	5
26615	4
26616	12
26617	30
26618	3
26619	20
26620	35
26621	7
26622	2
26623	8
26624	7
26625	1
26626	19
26627	2
26628	109
26629	35
26630	29
26631	5
26632	30
26633	25
26634	39
26635	100
26636	6
26637	50
26638	4
26639	13
26640	44
26641	1
26642	67
26643	29
26644	96
26645	54
26646	5
26647	63
26648	16
26649	15
26650	18
26651	12
26652	64
26653	12
26654	69
26655	25
26656	4
26657	32
26658	3
26659	20
26660	7
26661	24
26662	11
26663	8
26664	19
26665	9
26666	3
26667	51
26668	47
26669	20
26670	17
26671	4
26672	11
26673	22
26674	1
26675	21
26676	39
26677	46
26678	21
26679	26
26680	54
26681	16
26682	35
26683	3
26684	8
26685	40
26686	33
26687	2
26688	23
26689	73
26690	42
26691	40
26692	34
26693	31
26694	18
26695	3
26696	11
26697	108
26698	7
26699	1
26700	10
26701	51
26702	52
26703	22
26704	22
26705	14
26706	36
26707	6
26708	28
26709	110
26710	54
26711	2
26712	30
26713	3
26714	6
26715	25
26716	23
26717	7
26718	3
26719	2
26720	14
26721	4
26722	7
26723	15
26724	69
26725	25
26726	8
26727	16
26728	3
26729	30
26730	1
26731	14
26732	1
26733	37
26734	19
26735	59
26736	1
26737	3
26738	37
26739	5
26740	31
26741	23
26742	11
26743	10
26744	16
26745	11
26746	25
26747	4
26748	1
26749	11
26750	22
26751	13
26752	45
26753	2
26754	23
26755	35
26756	47
26757	4
26758	34
26759	17
26760	10
26761	14
26762	36
26763	9
26764	61
26765	16
26766	15
26767	10
26768	51
26769	22
26770	16
26771	6
26772	54
26773	27
26774	6
26775	26
26776	2
26777	13
26778	25
26779	16
26780	45
26781	11
26782	3
26783	18
26784	2
26785	2
26786	85
26787	7
26788	37
26789	21
26790	13
26791	28
26792	20
26793	10
26794	13
26795	40
26796	24
26797	57
26798	28
26799	5
26800	58
26801	5
26802	1
26803	1
26804	3
26805	86
26806	1
26807	1
26808	31
26809	2
26810	13
26811	3
26812	20
26813	23
26814	12
26815	1
26816	8
26817	17
26818	14
26819	6
26820	10
26821	37
26822	23
26823	10
26824	9
26825	48
26826	48
26827	2
26828	1
26829	18
26830	32
26831	19
26832	14
26833	3
26834	21
26835	11
26836	20
26837	6
